127.0.0.1, 2016-01-05 10:19:35, GET, /, HTTP/1.1, 303, 4.497501
127.0.0.1, 2016-01-05 10:19:35, GET, /, HTTP/1.1, 303, 4.494728
127.0.0.1, 2016-01-05 10:19:37, GET, /welcome/default/index, HTTP/1.1, 200, 1.140573
127.0.0.1, 2016-01-05 10:19:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000635
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/default/site, HTTP/1.1, 303, 0.077594
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/default/index, HTTP/1.1, 200, 0.037710
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 200, 0.000967
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 200, 0.000588
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001476
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 200, 0.001222
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 200, 0.002815
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000927
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000602
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000474
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000697
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003057
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002045
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002645
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001166
127.0.0.1, 2016-01-05 10:19:40, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 200, 0.000816
127.0.0.1, 2016-01-05 10:19:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
127.0.0.1, 2016-01-05 10:19:43, POST, /admin/default/index, HTTP/1.1, 303, 0.044298
127.0.0.1, 2016-01-05 10:19:44, GET, /admin/default/site, HTTP/1.1, 200, 0.085605
127.0.0.1, 2016-01-05 10:19:44, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 200, 0.000542
127.0.0.1, 2016-01-05 10:19:44, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 200, 0.000859
127.0.0.1, 2016-01-05 10:19:44, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000391
127.0.0.1, 2016-01-05 10:19:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000257
127.0.0.1, 2016-01-05 10:19:44, POST, /admin/default/check_version, HTTP/1.1, 200, 0.512315
127.0.0.1, 2016-01-05 10:19:58, GET, /admin/wizard/index, HTTP/1.1, 200, 0.027043
127.0.0.1, 2016-01-05 10:19:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2016-01-05 10:20:09, POST, /admin/wizard/index, HTTP/1.1, 303, 0.023281
127.0.0.1, 2016-01-05 10:20:09, GET, /admin/wizard/step1, HTTP/1.1, 200, 0.046646
127.0.0.1, 2016-01-05 10:20:09, GET, /admin/static/_2.13.4/plugin_multiselect/switch.png, HTTP/1.1, 200, 0.000390
127.0.0.1, 2016-01-05 10:20:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2016-01-05 10:21:02, POST, /admin/wizard/step1, HTTP/1.1, 303, 0.021707
127.0.0.1, 2016-01-05 10:21:02, GET, /admin/wizard/step2/, HTTP/1.1, 200, 0.025242
127.0.0.1, 2016-01-05 10:21:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000403
127.0.0.1, 2016-01-05 10:21:24, POST, /admin/wizard/step2/, HTTP/1.1, 303, 0.027138
127.0.0.1, 2016-01-05 10:21:24, GET, /admin/wizard/step3/0/, HTTP/1.1, 200, 0.033543
127.0.0.1, 2016-01-05 10:21:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2016-01-05 10:21:53, POST, /admin/wizard/step3/0/, HTTP/1.1, 303, 0.019847
127.0.0.1, 2016-01-05 10:21:53, GET, /admin/wizard/step4/, HTTP/1.1, 200, 0.027088
127.0.0.1, 2016-01-05 10:21:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000716
127.0.0.1, 2016-01-05 10:21:57, POST, /admin/wizard/step4/, HTTP/1.1, 303, 0.026664
127.0.0.1, 2016-01-05 10:21:57, GET, /admin/wizard/step5/0/, HTTP/1.1, 200, 0.031476
127.0.0.1, 2016-01-05 10:21:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2016-01-05 10:22:00, POST, /admin/wizard/step5/0/, HTTP/1.1, 303, 0.026961
127.0.0.1, 2016-01-05 10:22:00, GET, /admin/wizard/step5/1/, HTTP/1.1, 200, 0.037849
127.0.0.1, 2016-01-05 10:22:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2016-01-05 10:22:02, POST, /admin/wizard/step5/1/, HTTP/1.1, 303, 0.029018
127.0.0.1, 2016-01-05 10:22:02, GET, /admin/wizard/step6/, HTTP/1.1, 200, 0.035777
127.0.0.1, 2016-01-05 10:22:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000404
127.0.0.1, 2016-01-05 10:22:07, POST, /admin/wizard/step6/, HTTP/1.1, 303, 0.066997
127.0.0.1, 2016-01-05 10:22:07, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.069956
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/default/index, HTTP/1.1, 200, 1.445400
